,eps_num,w_diff,result
574,574.0,4.635324235700898e+205,other player no skull
575,575.0,2.2826582369605265e+204,0.0
576,576.0,7.264131423704905e+205,attempt won
577,577.0,3.013554131904272e+206,attempt loss
578,578.0,1.1457303026795112e+206,other player no skull
579,579.0,2.2914606053590225e+206,other player no skull
580,580.0,6.928908242706133e+206,other player no skull
581,581.0,2.4251178849471466e+207,other player no skull
582,582.0,2.6343331255786386e+207,other player no skull
583,583.0,1.880065193153884e+208,attempt loss
584,584.0,1.715171779363415e+208,other player no skull
585,585.0,1.4578960124589028e+209,other player no skull
586,586.0,1.154943436827746e+209,attempt loss
587,587.0,9.18141666287816e+209,other player skull
588,588.0,1.1735468722279086e+210,other player skull
589,589.0,7.010937661378443e+210,0.0
590,590.0,2.325126488664796e+210,attempt loss
591,591.0,5.1954541498998367e+210,attempt won
592,592.0,1.8184089524649425e+211,other player no skull
593,593.0,1.237470363463357e+212,attempt loss
594,594.0,4.825552632300082e+211,0.0
595,595.0,1.9989926828498124e+212,other player skull
596,596.0,1.5322497592912986e+212,0.0
597,597.0,3.125328831393691e+213,other player skull
598,598.0,2.1360766604930498e+214,other player skull
599,599.0,5.614490123057262e+211,0.0
600,600.0,4.146479550802123e+213,other player no skull
601,601.0,2.560013941943541e+214,other player skull
602,602.0,8.375565811898075e+214,other player skull
603,603.0,2.5946984994380318e+215,other player no skull
604,604.0,8.861133408031844e+214,attempt loss
605,605.0,2.5379064862524843e+215,other player skull
606,606.0,1.077057898999153e+216,attempt loss
607,607.0,2.8133780853632016e+216,other player no skull
608,608.0,3.113644912789848e+214,0.0
609,609.0,2.635984260439794e+215,0.0
610,610.0,3.214747391721862e+216,other player skull
611,611.0,2.1909602361678493e+217,0.0
612,612.0,1.9701207868912047e+216,0.0
613,613.0,5.783152969277572e+217,attempt loss
614,614.0,5.2778621393317434e+218,attempt loss
615,615.0,1.8568467013112727e+218,other player skull
616,616.0,6.9813586330964664e+218,other player no skull
617,617.0,8.186452120436998e+218,0.0
